,city,state,city_size,mode,n,percent,moe,state_abb,state_region
441,Franklin city,Indiana,Small,Bike,21,0.2,0.2,IN,North Central
442,Franklin city,Tennessee,Small,Bike,45,0.1,0.2,TN,South
443,Franklin city,Wisconsin,Small,Bike,0,0.0,0.1,WI,North Central
444,Franklin Town city,Massachusetts,Small,Bike,44,0.3,0.4,MA,Northeast
445,Frederick city,Maryland,Small,Bike,105,0.3,0.2,MD,South
446,Fredericksburg city,Virginia,Small,Bike,86,0.7,0.5,VA,South
447,Freeport city,Illinois,Small,Bike,106,1.0,0.7,IL,North Central
448,Freeport village,New York,Small,Bike,170,0.8,0.6,NY,Northeast
449,Fremont city,Nebraska,Small,Bike,80,0.6,0.6,NE,North Central
450,Fridley city,Minnesota,Small,Bike,61,0.4,0.4,MN,North Central
451,Friendswood city,Texas,Small,Bike,25,0.1,0.2,TX,South
452,Gadsden city,Alabama,Small,Bike,8,0.1,0.1,AL,South
453,Gahanna city,Ohio,Small,Bike,24,0.1,0.2,OH,North Central
454,Gainesville city,Georgia,Small,Bike,11,0.1,0.1,GA,South
455,Gaithersburg city,Maryland,Small,Bike,148,0.5,0.4,MD,South
456,Galesburg city,Illinois,Small,Bike,89,0.7,0.5,IL,North Central
457,Gallatin city,Tennessee,Small,Bike,0,0.0,0.3,TN,South
458,Gallup city,New Mexico,Small,Bike,36,0.4,0.4,NM,West
459,Galt city,California,Small,Bike,0,0.0,0.4,CA,West
460,Galveston city,Texas,Small,Bike,586,2.7,0.7,TX,South
461,Garden City city,Kansas,Small,Bike,131,1.0,0.6,KS,North Central
462,Garden City city,Michigan,Small,Bike,44,0.4,0.3,MI,North Central
463,Garden City village,New York,Small,Bike,13,0.1,0.2,NY,Northeast
464,Gardena city,California,Small,Bike,80,0.3,0.3,CA,West
465,Gardner city,Kansas,Small,Bike,0,0.0,0.3,KS,North Central
466,Gardner city,Massachusetts,Small,Bike,37,0.4,0.4,MA,Northeast
467,Garfield city,New Jersey,Small,Bike,95,0.6,0.5,NJ,Northeast
468,Garfield Heights city,Ohio,Small,Bike,28,0.2,0.2,OH,North Central
469,Garner town,North Carolina,Small,Bike,0,0.0,0.3,NC,South
470,Gary city,Indiana,Small,Bike,59,0.2,0.2,IN,North Central
471,Gastonia city,North Carolina,Small,Bike,18,0.1,0.1,NC,South
472,Geneva city,Illinois,Small,Bike,26,0.3,0.3,IL,North Central
473,Georgetown city,Kentucky,Small,Bike,0,0.0,0.2,KY,South
474,Georgetown city,Texas,Small,Bike,19,0.1,0.1,TX,South
475,Germantown city,Tennessee,Small,Bike,0,0.0,0.2,TN,South
476,Gillette city,Wyoming,Small,Bike,30,0.2,0.3,WY,West
477,Gilroy city,California,Small,Bike,190,0.9,0.5,CA,West
478,Gladstone city,Missouri,Small,Bike,0,0.0,0.2,MO,North Central
479,Glen Cove city,New York,Small,Bike,25,0.2,0.2,NY,Northeast
480,Glen Ellyn village,Illinois,Small,Bike,35,0.3,0.3,IL,North Central
481,Glendale Heights village,Illinois,Small,Bike,72,0.4,0.3,IL,North Central
482,Glendora city,California,Small,Bike,90,0.4,0.2,CA,West
483,Glenview village,Illinois,Small,Bike,44,0.2,0.2,IL,North Central
484,Gloucester city,Massachusetts,Small,Bike,69,0.5,0.4,MA,Northeast
485,Golden Valley city,Minnesota,Small,Bike,190,1.8,1.6,MN,North Central
486,Goldsboro city,North Carolina,Small,Bike,79,0.6,0.3,NC,South
487,Goleta city,California,Small,Bike,844,5.4,1.3,CA,West
488,Goodyear city,Arizona,Small,Bike,16,0.1,0.1,AZ,West
489,Goose Creek city,South Carolina,Small,Bike,61,0.3,0.2,SC,South
490,Goshen city,Indiana,Small,Bike,260,1.9,1.0,IN,North Central
491,Grand Forks city,North Dakota,Small,Bike,387,1.3,0.4,ND,North Central
492,Grand Island city,Nebraska,Small,Bike,175,0.7,0.5,NE,North Central
493,Grand Junction city,Colorado,Small,Bike,635,2.3,0.6,CO,West
494,Grandview city,Missouri,Small,Bike,0,0.0,0.3,MO,North Central
495,Granite City city,Illinois,Small,Bike,20,0.2,0.2,IL,North Central
496,Grants Pass city,Oregon,Small,Bike,181,1.4,0.7,OR,West
497,Grapevine city,Texas,Small,Bike,134,0.5,0.5,TX,South
498,Grayslake village,Illinois,Small,Bike,31,0.3,0.3,IL,North Central
499,Great Falls city,Montana,Small,Bike,272,1.0,0.4,MT,West
500,Greeley city,Colorado,Small,Bike,725,1.8,0.5,CO,West
501,Green city,Ohio,Small,Bike,0,0.0,0.2,OH,North Central
502,Greenacres city,Florida,Small,Bike,142,0.8,0.7,FL,South
503,Greenbelt city,Maryland,Small,Bike,24,0.2,0.2,MD,South
504,Greenfield city,Indiana,Small,Bike,40,0.4,0.5,IN,North Central
505,Greenfield city,Wisconsin,Small,Bike,55,0.3,0.3,WI,North Central
506,Greenville city,Mississippi,Small,Bike,10,0.1,0.1,MS,South
507,Greenville city,North Carolina,Small,Bike,181,0.4,0.2,NC,South
508,Greenville city,South Carolina,Small,Bike,72,0.3,0.2,SC,South
509,Greenville city,Texas,Small,Bike,0,0.0,0.4,TX,South
510,Greenwood city,Indiana,Small,Bike,28,0.1,0.1,IN,North Central
511,Greenwood city,South Carolina,Small,Bike,0,0.0,0.5,SC,South
512,Greer city,South Carolina,Small,Bike,25,0.2,0.3,SC,South
513,Griffin city,Georgia,Small,Bike,31,0.4,0.4,GA,South
514,Grove City city,Ohio,Small,Bike,40,0.2,0.2,OH,North Central
515,Gulfport city,Mississippi,Small,Bike,84,0.3,0.2,MS,South
516,Gurnee village,Illinois,Small,Bike,79,0.5,0.4,IL,North Central
517,Hackensack city,New Jersey,Small,Bike,96,0.4,0.4,NJ,Northeast
